Conference Name,Event Type,Dates,Location,Country,Region,Partner Organizations,Website,Keynote Speakers,Technical/Program Committee
Latin America Geothermal Systems Workshop 2026,Workshop,2-3 September 2026,"Mexico City (Barceló México Reforma)",Mexico,Latin America,AAPG,https://www.aapg.org/event-details/latin-america-geothermal-systems-workshop-2026/,Not yet announced,Not yet announced
West Texas Geological Society (WTGS) and Southwest Section (SWS) AAPG Centennial Conference,Section Conference,12-16 September 2026,Midland,United States,North America,"WTGS, AAPG Southwest Section",https://www.wtgs.org/news/2026-wtgs-sws-aapg-centennial-conference,Not yet announced,Not yet announced
5th Edition AAPG/EAGE Hydrocarbon Seals of the Middle East GTW,GTW (Geoscience Technology Workshop),28-30 September 2026,Kuwait City,Kuwait,Middle East,"AAPG, EAGE",https://www.aapg.org/event-details/5th-edition-aapg-eage-hydrocarbon-seals-of-the-middle-east-gtw/,Not yet announced,Not yet announced
7th Biennial AAPG Mid-Continent Section Field Conference,Section Field Conference,2-4 October 2026,"Stillwater, Oklahoma State University",United States,North America,AAPG Mid-Continent Section,https://tulsageologicalsociety.wildapricot.org/event-6789490,Not yet announced,Not yet announced
3rd Edition Structural Styles of the Middle East,Workshop (GTW),12-14 October 2026,"Muscat (Crowne Plaza Muscat by IHG)",Oman,Middle East,AAPG,https://www.aapg.org/event-details/3rd-edition-structural-styles-of-the-middle-east/,Not yet announced,Not yet announced (see event brochure)
AAPG Rocky Mountain Section Annual Meeting 2026,Section Meeting,24-26 October 2026,Butte,United States,North America,AAPG Rocky Mountain Section,https://www.rms-aapg2026.com/,Not yet announced,"Managed by RMS Executive Committee (Section Officers + representatives of 11 affiliated societies); individual names not yet published"
AAPG Eastern Section Annual Meeting 2026,Section Meeting,26-27 October 2026,Canonsburg,United States,North America,AAPG Eastern Section,https://www.aapg.org/events/calendar/,Not yet announced,Not yet announced
Latin America and Caribbean Region Student & Young Professional Leadership Summit 2026,Summit,6-8 November 2026,Bogota,Colombia,Latin America,AAPG Latin America & Caribbean Region,https://www.aapg.org/event-details/latin-america-and-caribbean-region-student-young-professional-leadership-summit-2026/,Not yet announced,Not yet announced
Suriname Technical Symposium 2026 (3rd Edition),Technical Symposium,18-19 November 2026,"Paramaribo (Torarica Resort)",Suriname,Latin America,"AAPG, Staatsolie (host)",https://www.aapg.org/event-details/suriname-technical-symposium-2026/,Not yet announced,Not yet announced
5th Edition Stratigraphic Traps of the Middle East,Workshop (GTW),23-25 November 2026,Manama,Bahrain,Middle East,AAPG,https://www.aapg.org/event-details/5th-edition-stratigraphic-traps-of-the-middle-east/,Not yet announced,Not yet announced (see event brochure)
URTeC Latin America Unconventional Resources Summit 2026,Summit,1-2 December 2026,Buenos Aires,Argentina,Latin America,"AAPG, SPE, SEG, YPF (host)",https://urtec.org/latinamerica/,Not yet announced,Not yet announced
3rd Edition AAPG/EAGE Maximizing Asset Value GTW,GTW (Geoscience Technology Workshop),7-9 December 2026,Al Khobar,Saudi Arabia,Middle East,"AAPG, EAGE",https://www.aapg.org/event-details/3rd-edition-aapg-eage-maximizing-asset-value-integrating-geoscience-with-reservoir-management-and-technologies-optimization/,Not yet announced,Not yet announced (see event brochure)
AAPG International Conference & Exhibition (ICE) 2026,ICE (Flagship International Conference),7-9 December 2026,Jakarta,Indonesia,Asia Pacific,"AAPG, IPA (Indonesian Petroleum Association)",https://iceevent.org/2026/,Not yet announced (see Special Events page closer to date),"Program Committee: Herman Darman (Pertamina), Leonardus Tjahjadi (Independent), Redo Waworuntu (Medco), Keyu Liu (China University of Petroleum), Minarwan (Conrad), Enry Horas Sihombing (ExxonMobil), Sarawute Chantraprasert (PTTEP), Dwandari Ralanarko (Pertamina), Sandip Kumar Roy (Independent), Mellinda Arisandy (Petronas), Prashant Chaturvedi (PDO), Albertus 'Angga' Pradipta (BP), Hade Maulin (Pertamina), Meor Hakif (GSM), Karthikeyan (Shell), Rosanele Romero (Wood Mackenzie), Clare Barker-White (S&P), Reny Samsu (Independent), Grandika Primadani (S&P), Sau Hooi Yee (Petronas), K.L. Chong (TGS-Malaysia), Irnisha Gheamarsa (PT Geoservices); plus a separate Theme Chairs group led by several of the same members alongside Septriandi Chan (NESR), Stacy Primus Liew (S&P), Leslie Wood (Colorado School of Mines), Victorien Paumard (University of Western Australia), and Peter Grant (Botala Energy)"
GeoGulf 2027,Regional Conference,18-20 April 2027,Houston,United States,North America,AAPG Gulf Coast Section,https://gcags.org/,Not yet announced,Not yet announced
3rd Edition Geological Process-Based Forward Modeling,Workshop (GTW),May 2027,TBD,TBD,TBD,AAPG,https://www.aapg.org/event-details/3rd-edition-geological-process-based-forward-modeling/,Not yet announced,Not yet announced
Energy Opportunities Conference 2027,Conference,18-20 May 2027,Cartagena,Colombia,Latin America,AAPG,https://www.aapg.org/events/calendar/,Not yet announced,Not yet announced
Venecon 2027,Technical Symposium,June 2027,Caracas,Venezuela,Latin America,AAPG,https://www.aapg.org/events/calendar/,Not yet announced,Not yet announced
